#            id              z           maxz            snr         maxzsnr
#
           2776         0.2111            -99          1.952            -99
           2778           2.11            -99          1.262            -99
           2785          1.643            -99      4.343e-05            -99
           2794          1.751            -99          0.804            -99
           2805          2.666            -99        6.1e-05            -99
           2806           1.79           1.85           5.37        5.08339
           2813            1.9            -99          3.657            -99
           2818          0.051          0.071          13.06        5.55387
           2822          1.444            -99          3.976            -99
           2825         0.6809         0.8609          9.996        5.08384
           2831          2.094            -99          1.698            -99
           2841         0.7433         1.1033          26.45        5.13527
           2856         0.8035            -99          3.511            -99
           2870          1.492            -99          1.884            -99
           2874          1.599          1.819          7.375        5.02978
           2877          1.363            -99          3.769            -99
           2878         0.9544         1.2144          9.859        5.11441
           2880          2.167            -99         0.1425            -99
           2884           1.37            -99       4.76e-05            -99
           2888          0.748            -99          0.991            -99
